radius,outer,inner,clean_choice,sr_choice
0.025,22,9,HistGB,HistGB
0.025,22,10,HistGB,HistGB
0.025,22,11,HistGB,HistGB
0.025,22,12,HistGB,HistGB
0.025,22,13,HistGB,HistGB
0.025,22,14,HistGB,HistGB
0.025,23,0,HistGB,HistGB
0.025,23,1,HistGB,HistGB
0.025,23,2,HistGB,HistGB
0.025,23,3,HistGB,HistGB
0.025,23,4,HistGB,HistGB
0.025,23,5,HistGB,HistGB
0.025,23,6,HistGB,HistGB
0.025,23,7,HistGB,HistGB
0.025,23,8,HistGB,HistGB
0.025,23,9,HistGB,HistGB
0.025,23,10,HistGB,HistGB
0.025,23,11,HistGB,HistGB
0.025,23,12,HistGB,HistGB
0.025,23,13,HistGB,HistGB
0.025,23,14,HistGB,HistGB
0.025,24,0,HistGB,HistGB
0.025,24,1,HistGB,HistGB
0.025,24,2,HistGB,HistGB
0.025,24,3,HistGB,HistGB
0.025,24,4,HistGB,HistGB
0.025,24,5,HistGB,HistGB
0.025,24,6,HistGB,HistGB
0.025,24,7,HistGB,HistGB
0.025,24,8,HistGB,HistGB
0.025,24,9,HistGB,HistGB
0.025,24,10,HistGB,HistGB
0.025,24,11,HistGB,HistGB
0.025,24,12,HistGB,HistGB
0.025,24,13,HistGB,HistGB
0.025,24,14,HistGB,HistGB
0.05,0,0,HistGB,HistGB
0.05,0,1,HistGB,HistGB
0.05,0,2,HistGB,HistGB
0.05,0,3,HistGB,HistGB
0.05,0,4,HistGB,HistGB
0.05,0,5,HistGB,HistGB
0.05,0,6,HistGB,HistGB
0.05,0,7,HistGB,HistGB
0.05,0,8,HistGB,HistGB
0.05,0,9,HistGB,HistGB
0.05,0,10,HistGB,HistGB
0.05,0,11,HistGB,HistGB
0.05,0,12,HistGB,HistGB
0.05,0,13,HistGB,HistGB
0.05,0,14,HistGB,HistGB
0.05,1,0,HistGB,HistGB
0.05,1,1,HistGB,HistGB
0.05,1,2,HistGB,HistGB
0.05,1,3,HistGB,HistGB
