radius,outer,clean_final_choice,sr_final_choice,oracle_choice,clean_test_sr,sr_test_sr,oracle_test_sr,clean_regret,sr_regret,clean_oracle_match,sr_oracle_match,test_sr_OLS,test_sr_RidgeCV,test_sr_LassoCV,test_sr_KNN,test_sr_RandomForest,test_sr_HistGB,clean_vote_OLS,clean_vote_RidgeCV,clean_vote_LassoCV,clean_vote_KNN,clean_vote_RandomForest,clean_vote_HistGB,sr_vote_OLS,sr_vote_RidgeCV,sr_vote_LassoCV,sr_vote_KNN,sr_vote_RandomForest,sr_vote_HistGB
0.05,19,HistGB,HistGB,HistGB,15.447310184877987,15.447310184877987,15.447310184877987,0.0,0.0,1,1,21.440070885683237,21.439840829466576,21.440169619050604,17.546744691331323,16.462341738159317,15.447310184877987,0,0,0,0,0,15,0,0,0,0,0,15
0.05,20,HistGB,HistGB,HistGB,16.366083986102698,16.366083986102698,16.366083986102698,0.0,0.0,1,1,21.728027160903547,21.727944574401942,21.728041090112352,18.39475333699198,17.015478093310602,16.366083986102698,0,0,0,0,0,15,0,0,0,0,0,15
0.05,21,HistGB,HistGB,HistGB,16.91684541689369,16.91684541689369,16.91684541689369,0.0,0.0,1,1,22.45868316350195,22.45887947872708,22.458889216300765,19.4453137562591,17.81313224622198,16.91684541689369,0,0,0,0,0,15,0,0,0,0,0,15
0.05,22,HistGB,HistGB,HistGB,16.73572245408453,16.73572245408453,16.73572245408453,0.0,0.0,1,1,22.000383115790672,22.000582695500853,22.00111751459711,18.77564994838037,17.427816986108436,16.73572245408453,0,0,0,0,0,15,0,0,0,0,0,15
0.05,23,HistGB,HistGB,HistGB,16.52120017261421,16.52120017261421,16.52120017261421,0.0,0.0,1,1,21.63065228437208,21.63057740616427,21.630101773798444,18.925559505267053,17.129336767592477,16.52120017261421,0,0,0,0,0,15,0,0,0,0,0,15
0.05,24,HistGB,HistGB,HistGB,16.003493881026984,16.003493881026984,16.003493881026984,0.0,0.0,1,1,21.880273385913117,21.880516969682343,21.878937319532994,18.866069794658088,16.966828943748855,16.003493881026984,0,0,0,0,0,15,0,0,0,0,0,15
0.075,0,HistGB,HistGB,HistGB,15.602419240269313,15.602419240269313,15.602419240269313,0.0,0.0,1,1,21.03350485844056,21.03337142073876,21.033372596568025,17.303866141752557,16.18972586036822,15.602419240269313,0,0,0,0,0,15,0,0,0,0,1,14
0.075,1,HistGB,HistGB,HistGB,17.1033607173825,17.1033607173825,17.1033607173825,0.0,0.0,1,1,22.619526391994285,22.61894881033612,22.61916628579956,19.048744401494215,18.130027447247805,17.1033607173825,0,0,0,0,0,15,0,0,0,0,1,14
0.075,2,HistGB,HistGB,HistGB,16.097585050785945,16.097585050785945,16.097585050785945,0.0,0.0,1,1,21.00523128851932,21.005380828702826,21.005487807949944,17.887099442989097,16.229109981478757,16.097585050785945,0,0,0,0,0,15,0,0,0,0,1,14
0.075,3,HistGB,HistGB,HistGB,16.037489081353804,16.037489081353804,16.037489081353804,0.0,0.0,1,1,20.63491265437499,20.63484791918717,20.635175805838273,17.615493187453872,16.71274940227538,16.037489081353804,0,0,0,0,0,15,0,0,0,0,1,14
0.075,4,HistGB,HistGB,HistGB,15.645178691147736,15.645178691147736,15.645178691147736,0.0,0.0,1,1,20.993334985417736,20.993828201162387,20.993552427965575,17.674516841223113,16.129722144110218,15.645178691147736,0,0,0,0,0,15,0,0,0,0,2,13
0.075,5,HistGB,HistGB,HistGB,16.708992531526835,16.708992531526835,16.708992531526835,0.0,0.0,1,1,21.71406516677423,21.71427738096005,21.71430319356072,18.483585397331872,17.19145618894615,16.708992531526835,0,0,0,0,0,15,0,0,0,0,1,14
0.075,6,HistGB,HistGB,HistGB,18.744834979217543,18.744834979217543,18.744834979217543,0.0,0.0,1,1,23.75734903645994,23.75643290326751,23.757558915477112,19.493098179659068,19.180476244705122,18.744834979217543,0,0,0,0,0,15,0,0,0,0,0,15
0.075,7,HistGB,HistGB,HistGB,15.59129978448232,15.59129978448232,15.59129978448232,0.0,0.0,1,1,20.142492189101418,20.141497155171542,20.14276629668959,16.927009639876168,15.9143667820068,15.59129978448232,0,0,0,0,0,15,0,0,0,0,0,15
