selector,r_val,r_eval,outer_repeats,regret_mean,regret_sd,regret_mcse,oracle_match_rate,selected_test_sr_mean,oracle_test_sr_mean,selected_model_mode,selected_model_entropy,oracle_match_mcse,regret_ci95_halfwidth
SRCV,0.195,0.0,25,0.31904946138490375,1.1342459813485715,0.22684919626971428,0.92,13.044718950441085,12.725669489056184,HistGB,0.33422114621338295,0.05425863986500213,0.44462442468864
SRCV,0.195,0.025,25,0.17158981220268565,0.6305444753925764,0.12610889507851528,0.92,14.980968818913547,14.809379006710863,HistGB,0.33422114621338295,0.05425863986500213,0.24717343435388994
SRCV,0.195,0.1,25,0.06879680223314026,0.271742846874005,0.054348569374801,0.92,17.18748169069981,17.118684888466667,HistGB,0.33422114621338295,0.05425863986500213,0.10652319597460996
SRCV,0.195,0.15,25,0.05284944641202315,0.16349540914203842,0.03269908182840768,0.8,18.489506118727558,18.436656672315536,HistGB,0.33422114621338295,0.08,0.06409020038367905
SRCV,0.195,0.19,25,0.052155816670943406,0.13599642639092396,0.02719928527818479,0.76,19.789667983704245,19.7375121670333,HistGB,0.33422114621338295,0.0854166260162505,0.05331059914524219
SRCV,0.195,0.2,25,0.06452190026314923,0.15897282929481912,0.03179456585896383,0.64,20.10346910524203,20.03894720497888,HistGB,0.33422114621338295,0.096,0.062317349083569104
SRCV,0.195,0.21,25,0.1068708002126381,0.20502850182351526,0.04100570036470305,0.48,20.437445662260714,20.330574862048078,HistGB,0.33422114621338295,0.09991996797437437,0.08037117271481797
SRCV,0.195,0.24,25,0.3111760509625758,0.3425303608684501,0.06850607217369002,0.24,21.517819142194764,21.20664309123219,HistGB,0.33422114621338295,0.0854166260162505,0.13427190146043244
SRCV,0.195,0.32,25,1.4362044126795328,0.5081099518782604,0.10162199037565207,0.04,24.903507080313727,23.467302667634193,HistGB,0.33422114621338295,0.039191835884530846,0.19917910113627807
SRCV,0.195,0.4,25,2.7090003289181306,0.713065698023796,0.14261313960475921,0.04,28.87427528614263,26.165274957224497,HistGB,0.33422114621338295,0.039191835884530846,0.27952175362532805
SRCV,0.195,0.5,25,4.532666347043261,1.0587177924886628,0.21174355849773258,0.04,34.81322106788489,30.280554720841632,HistGB,0.33422114621338295,0.039191835884530846,0.4150173746555558
SRCV,0.2,0.0,25,1.2823212190480904,2.1753009021651795,0.4350601804330359,0.72,14.007990708104273,12.725669489056184,HistGB,0.7604688022513466,0.0897997772825746,0.8527179536487504
SRCV,0.2,0.025,25,0.7421907849145951,1.319443269274746,0.2638886538549492,0.72,15.551569791625457,14.809379006710863,HistGB,0.7604688022513466,0.0897997772825746,0.5172217615557004
SRCV,0.2,0.1,25,0.33717064586237666,0.6743938147518495,0.13487876295036988,0.72,17.455855534329046,17.118684888466667,HistGB,0.7604688022513466,0.0897997772825746,0.26436237538272495
SRCV,0.2,0.15,25,0.2219841381313178,0.4540510146955393,0.09081020293910787,0.64,18.65864081044685,18.436656672315536,HistGB,0.7604688022513466,0.096,0.1779879977606514
SRCV,0.2,0.19,25,0.13860305422722163,0.3050635749145408,0.06101271498290815,0.64,19.876115221260523,19.7375121670333,HistGB,0.7604688022513466,0.096,0.11958492136649998
SRCV,0.2,0.2,25,0.1446782480361729,0.2900739295181262,0.05801478590362524,0.6,20.18362545301505,20.03894720497888,HistGB,0.7604688022513466,0.09797958971132711,0.11370898037110548
SRCV,0.2,0.21,25,0.16085815663007494,0.28730360316086284,0.05746072063217257,0.48,20.491433018678155,20.330574862048078,HistGB,0.7604688022513466,0.09991996797437437,0.11262301243905824
SRCV,0.2,0.24,25,0.29548147423642346,0.340813943024442,0.0681627886048884,0.28,21.502124565468613,21.20664309123219,HistGB,0.7604688022513466,0.0897997772825746,0.13359906566558127
SRCV,0.2,0.32,25,1.2402439335720492,0.7324629506336935,0.1464925901267387,0.2,24.70754660120624,23.467302667634193,HistGB,0.7604688022513466,0.08,0.2871254766484079
SRCV,0.2,0.4,25,2.295701928765267,1.235104962307971,0.2470209924615942,0.2,28.460976885989766,26.165274957224497,HistGB,0.7604688022513466,0.08,0.48416114522472464
SRCV,0.2,0.5,25,3.8282847790539,2.007173105471364,0.4014346210942728,0.2,34.10883949989553,30.280554720841632,HistGB,0.7604688022513466,0.08,0.7868118573447747
SRCV,0.205,0.0,25,1.560810616137854,2.3568773146010806,0.47137546292021615,0.68,14.286480105194038,12.725669489056184,HistGB,0.7474359091744861,0.0932952303175248,0.9238959073236236
SRCV,0.205,0.025,25,0.9422243118897717,1.4414516247817137,0.28829032495634277,0.68,15.751603318600635,14.809379006710863,HistGB,0.7474359091744861,0.0932952303175248,0.5650490369144319
SRCV,0.205,0.1,25,0.44453088522917483,0.71326689745304,0.142653379490608,0.68,17.56321577369584,17.118684888466667,HistGB,0.7474359091744861,0.0932952303175248,0.2796006238015917
SRCV,0.205,0.15,25,0.29463299182501074,0.4696115779040213,0.09392231558080426,0.6,18.731289664140544,18.436656672315536,HistGB,0.7474359091744861,0.09797958971132711,0.18408773853837634
SRCV,0.205,0.19,25,0.1384664869830786,0.24835096600010692,0.04967019320002138,0.52,19.87597865401638,19.7375121670333,HistGB,0.7474359091744861,0.09991996797437437,0.0973535786720419
SRCV,0.205,0.2,25,0.13918168447433757,0.2511268336282366,0.05022536672564733,0.56,20.178128889453216,20.03894720497888,HistGB,0.7474359091744861,0.09927738916792685,0.09844171878226876
SRCV,0.205,0.21,25,0.14491662839815703,0.25060339411682725,0.05012067882336545,0.52,20.475491490446235,20.330574862048078,HistGB,0.7474359091744861,0.09991996797437437,0.09823653049379627
SRCV,0.205,0.24,25,0.2447948389114373,0.3360611385006489,0.06721222770012977,0.4,21.451437930143626,21.20664309123219,HistGB,0.7474359091744861,0.09797958971132711,0.13173596629225434
SRCV,0.205,0.32,25,1.0872407890216214,0.7857068901535749,0.15714137803071498,0.28,24.554543456655814,23.467302667634193,HistGB,0.7474359091744861,0.0897997772825746,0.3079971009402014
SRCV,0.205,0.4,25,2.0383142374454013,1.355449536892518,0.2710899073785036,0.28,28.2035891946699,26.165274957224497,HistGB,0.7474359091744861,0.0897997772825746,0.531336218461867
SRCV,0.205,0.5,25,3.391888224824776,2.201417352877276,0.4402834705754552,0.28,33.672442945666404,30.280554720841632,HistGB,0.7474359091744861,0.0897997772825746,0.8629556023278921
SRCV,0.21,0.0,25,1.22100532568455,2.2238691129657475,0.4447738225931495,0.76,13.946674814740732,12.725669489056184,HistGB,0.5510799280869728,0.0854166260162505,0.871756692282573
SRCV,0.21,0.025,25,0.7444717799104947,1.3622712025245136,0.27245424050490274,0.76,15.553850786621355,14.809379006710863,HistGB,0.5510799280869728,0.0854166260162505,0.5340103113896094
SRCV,0.21,0.1,25,0.3638044118639377,0.6799716755906113,0.13599433511812226,0.76,17.482489300330606,17.118684888466667,HistGB,0.5510799280869728,0.0854166260162505,0.2665488968315196
SRCV,0.21,0.15,25,0.23833972709387566,0.448130405013328,0.0896260810026656,0.64,18.67499639940941,18.436656672315536,HistGB,0.5510799280869728,0.096,0.17566711876522456
SRCV,0.21,0.19,25,0.13164267088151432,0.2796356683095897,0.05592713366191794,0.6,19.869154837914813,19.7375121670333,HistGB,0.5510799280869728,0.09797958971132711,0.10961718197735916
SRCV,0.21,0.2,25,0.12991169228918736,0.26965997622556526,0.05393199524511305,0.56,20.168858897268066,20.03894720497888,HistGB,0.5510799280869728,0.09927738916792685,0.10570671068042158
SRCV,0.21,0.21,25,0.13894476847654644,0.2611676455733576,0.052233529114671516,0.52,20.469519630524623,20.330574862048078,HistGB,0.5510799280869728,0.09991996797437437,0.10237771706475617
SRCV,0.21,0.24,25,0.2644472099472283,0.3402325424183475,0.0680465084836695,0.28,21.471090301179416,21.20664309123219,HistGB,0.5510799280869728,0.0897997772825746,0.1333711566279922
SRCV,0.21,0.32,25,1.1440239361914177,0.7548464225315799,0.15096928450631597,0.24,24.61132660382561,23.467302667634193,HistGB,0.5510799280869728,0.0854166260162505,0.2958997976323793
SRCV,0.21,0.4,25,2.1310584052179125,1.287078473045833,0.2574156946091666,0.24,28.29633336244241,26.165274957224497,HistGB,0.5510799280869728,0.0854166260162505,0.5045347614339665
SRCV,0.21,0.5,25,3.5827009763162696,2.104036349095325,0.42080726981906497,0.24,33.8632556971579,30.280554720841632,HistGB,0.5510799280869728,0.0854166260162505,0.8247822488453673
SRCV,0.22,0.0,25,3.557587326430841,2.294920458103702,0.4589840916207404,0.28,16.28325681548702,12.725669489056184,KNN,0.5929533174474745,0.0897997772825746,0.8996088195766512
SRCV,0.22,0.025,25,2.1451287323976693,1.4087030018485682,0.28174060036971366,0.28,16.954507739108532,14.809379006710863,KNN,0.5929533174474745,0.0897997772825746,0.5522115767246387
